start 0-519199,diffcult:20
index:1-100,每小时出块:884,难度值由20调整为21
index:101-200,每小时出块:515,难度值由21调整为22
index:201-300,每小时出块:274,难度值由22调整为23
index:301-400,每小时出块:143,难度值由23调整为22
index:401-500,每小时出块:216,难度值由22调整为23
index:501-600,每小时出块:166,难度值由23调整为23
index:601-700,每小时出块:153,难度值由23调整为22
index:701-800,每小时出块:251,难度值由22调整为23
index:801-900,每小时出块:143,难度值由23调整为22
index:901-1000,每小时出块:269,难度值由22调整为23
index:1001-1100,每小时出块:153,难度值由23调整为22
index:1101-1200,每小时出块:268,难度值由22调整为23
index:1201-1300,每小时出块:122,难度值由23调整为22
index:1301-1400,每小时出块:278,难度值由22调整为23
index:1401-1500,每小时出块:127,难度值由23调整为22
index:1501-1600,每小时出块:280,难度值由22调整为23
index:1601-1700,每小时出块:146,难度值由23调整为22
index:1701-1800,每小时出块:226,难度值由22调整为23
index:1801-1900,每小时出块:129,难度值由23调整为22
index:1901-2000,每小时出块:280,难度值由22调整为23
index:2001-2100,每小时出块:157,难度值由23调整为22
index:2101-2200,每小时出块:285,难度值由22调整为23
index:2201-2300,每小时出块:156,难度值由23调整为22
index:2301-2400,每小时出块:277,难度值由22调整为23
index:2401-2500,每小时出块:127,难度值由23调整为22
index:1-100,每小时出块:998,难度值由20调整为21
index:101-200,每小时出块:474,难度值由21调整为22
index:201-300,每小时出块:262,难度值由22调整为23
index:301-400,每小时出块:159,难度值由23调整为22
index:401-500,每小时出块:283,难度值由22调整为23
index:501-600,每小时出块:132,难度值由23调整为22
index:601-700,每小时出块:245,难度值由22调整为23
index:701-800,每小时出块:135,难度值由23调整为22
index:801-900,每小时出块:223,难度值由22调整为23
index:901-1000,每小时出块:152,难度值由23调整为22
index:1001-1100,每小时出块:286,难度值由22调整为23
index:1101-1200,每小时出块:155,难度值由23调整为22
index:1201-1300,每小时出块:267,难度值由22调整为23
index:1301-1400,每小时出块:149,难度值由23调整为22
index:1401-1500,每小时出块:266,难度值由22调整为23
index:1501-1600,每小时出块:117,难度值由23调整为22
index:1601-1700,每小时出块:246,难度值由22调整为23
index:1701-1800,每小时出块:150,难度值由23调整为22
index:1801-1900,每小时出块:291,难度值由22调整为23
index:1901-2000,每小时出块:132,难度值由23调整为22
index:2001-2100,每小时出块:238,难度值由22调整为23
index:2101-2200,每小时出块:128,难度值由23调整为22
index:2201-2300,每小时出块:272,难度值由22调整为23
index:2301-2400,每小时出块:140,难度值由23调整为22
index:2401-2500,每小时出块:252,难度值由22调整为23
index:2501-2600,每小时出块:183,难度值由23调整为23
index:2601-2700,每小时出块:146,难度值由23调整为22
index:2701-2800,每小时出块:255,难度值由22调整为23
index:2801-2900,每小时出块:137,难度值由23调整为22
index:2901-3000,每小时出块:262,难度值由22调整为23
index:3001-3100,每小时出块:119,难度值由23调整为22
index:3101-3200,每小时出块:242,难度值由22调整为23
index:3201-3300,每小时出块:128,难度值由23调整为22
index:3301-3400,每小时出块:258,难度值由22调整为23
index:3401-3500,每小时出块:133,难度值由23调整为22
index:3501-3600,每小时出块:254,难度值由22调整为23
index:3601-3700,每小时出块:136,难度值由23调整为22
index:3701-3800,每小时出块:259,难度值由22调整为23
index:3801-3900,每小时出块:133,难度值由23调整为22
index:3901-4000,每小时出块:249,难度值由22调整为23
index:4001-4100,每小时出块:135,难度值由23调整为22
index:4101-4200,每小时出块:262,难度值由22调整为23
index:4201-4300,每小时出块:150,难度值由23调整为22
index:4301-4400,每小时出块:297,难度值由22调整为23
index:4401-4500,每小时出块:149,难度值由23调整为22
index:4501-4600,每小时出块:239,难度值由22调整为23
index:4601-4700,每小时出块:135,难度值由23调整为22
index:4701-4800,每小时出块:307,难度值由22调整为23
index:4801-4900,每小时出块:146,难度值由23调整为22
index:4901-5000,每小时出块:228,难度值由22调整为23
index:5001-5100,每小时出块:131,难度值由23调整为22
index:5101-5200,每小时出块:285,难度值由22调整为23
index:5201-5300,每小时出块:146,难度值由23调整为22
index:5301-5400,每小时出块:267,难度值由22调整为23
index:5401-5500,每小时出块:152,难度值由23调整为22
index:5501-5600,每小时出块:234,难度值由22调整为23
index:5601-5700,每小时出块:145,难度值由23调整为22
index:5701-5800,每小时出块:281,难度值由22调整为23
index:5801-5900,每小时出块:129,难度值由23调整为22
index:5901-6000,每小时出块:234,难度值由22调整为23
index:6001-6100,每小时出块:129,难度值由23调整为22
index:6101-6200,每小时出块:251,难度值由22调整为23
index:6201-6300,每小时出块:139,难度值由23调整为22
index:6301-6400,每小时出块:307,难度值由22调整为23
index:6401-6500,每小时出块:125,难度值由23调整为22
index:6501-6600,每小时出块:239,难度值由22调整为23
index:6601-6700,每小时出块:130,难度值由23调整为22
index:6701-6800,每小时出块:271,难度值由22调整为23
index:6801-6900,每小时出块:119,难度值由23调整为22
index:6901-7000,每小时出块:274,难度值由22调整为23
index:7001-7100,每小时出块:122,难度值由23调整为22
index:7101-7200,每小时出块:214,难度值由22调整为23
index:7201-7300,每小时出块:119,难度值由23调整为22
index:7301-7400,每小时出块:250,难度值由22调整为23
index:7401-7500,每小时出块:143,难度值由23调整为22
index:7501-7600,每小时出块:244,难度值由22调整为23
index:7601-7700,每小时出块:113,难度值由23调整为22
index:7701-7800,每小时出块:191,难度值由22调整为22
index:7801-7900,每小时出块:230,难度值由22调整为23
index:7901-8000,每小时出块:112,难度值由23调整为22
index:8001-8100,每小时出块:201,难度值由22调整为23
index:8101-8200,每小时出块:121,难度值由23调整为22
index:8201-8300,每小时出块:241,难度值由22调整为23
index:8301-8400,每小时出块:99,难度值由23调整为22
index:8401-8500,每小时出块:209,难度值由22调整为23
index:8501-8600,每小时出块:115,难度值由23调整为22
index:8601-8700,每小时出块:257,难度值由22调整为23
index:8701-8800,每小时出块:129,难度值由23调整为22
index:8801-8900,每小时出块:252,难度值由22调整为23
index:8901-9000,每小时出块:128,难度值由23调整为22
index:9001-9100,每小时出块:232,难度值由22调整为23
